Date,Price,Open,High,Low,Vol,Change %
2022-05-31,4.0909,4.0153,4.2474,3.9894,3.50K,2.62%
2022-05-30,3.9863,3.9244,3.9913,3.9011,,1.57%
2022-05-29,3.9245,3.912,3.9245,3.9092,,-1.96%
2022-05-27,4.0029,3.9967,4.0211,3.9103,17.90K,0.88%
2022-05-26,3.968,3.8914,3.9982,3.8526,19.13K,2.63%
2022-05-25,3.8664,3.7927,3.89,3.7446,22.09K,2.24%
2022-05-24,3.7818,3.779,3.8478,3.7031,24.35K,0.34%
2022-05-23,3.7688,3.748,3.7982,3.6972,23.76K,0.79%
2022-05-20,3.7391,3.7864,3.8236,3.7365,19.76K,-1.40%
2022-05-19,3.792,3.6531,3.8019,3.5248,27.63K,3.38%
2022-05-18,3.6681,3.8117,3.8418,3.6173,33.58K,-3.45%
2022-05-17,3.7993,3.9134,3.9739,3.78,35.29K,-2.77%
2022-05-16,3.9075,3.9448,3.9608,3.8372,32.23K,-0.35%
2022-05-13,3.9212,3.9317,4.0197,3.8938,30.42K,0.13%
2022-05-12,3.9161,3.9665,4.0011,3.7646,40.28K,-0.89%
2022-05-11,3.9512,3.9528,4.0614,3.9214,49.59K,0.48%
2022-05-10,3.9322,3.8184,3.99,3.7637,41.23K,2.54%
2022-05-09,3.8349,4,4.0043,3.7974,46.96K,-3.02%
2022-05-06,3.9543,4.0573,4.0966,3.9076,49.33K,-2.15%
2022-05-05,4.0413,4.2098,4.2455,4.02,47.50K,-3.71%
2022-05-04,4.197,4.1007,4.2461,4.0952,43.18K,2.80%
2022-05-03,4.0827,4.265,4.265,4.029,49.89K,-2.91%
2022-05-02,4.2049,3.994,4.2738,3.9444,43.50K,-12.06%
2022-04-29,4.7817,4.9283,5.8595,4.4067,2.14K,-6.89%
2022-04-28,5.1354,4.6825,5.2215,4.6635,15.33K,9.86%
2022-04-27,4.6743,4.45,4.7099,4.345,11.95K,4.62%
2022-04-26,4.4679,4.1271,4.5714,4.1044,24.43K,9.22%
2022-04-25,4.0909,3.9544,4.1366,3.817,24.98K,3.87%
2022-04-22,3.9386,3.9113,3.9761,3.8246,20.70K,0.97%
2022-04-21,3.9008,3.9581,3.9957,3.8275,22.23K,-1.82%
2022-04-20,3.9731,3.8703,3.9864,3.8535,25.26K,2.88%
2022-04-19,3.8619,3.9021,3.9153,3.7555,24.72K,-0.74%
2022-04-18,3.8908,3.857,3.9985,3.7928,27.33K,0.93%
2022-04-14,3.8548,3.7686,3.9192,3.6648,41.44K,3.67%
2022-04-13,3.7184,3.4955,3.7756,3.46,49.57K,7.33%
2022-04-12,3.4644,3.2954,3.4981,3.2798,45.57K,6.02%
2022-04-11,3.2677,3.3278,3.3586,3.2196,33.12K,-1.50%
2022-04-08,3.3176,3.3065,3.3382,3.2459,42.48K,1.52%
2022-04-07,3.2678,3.346,3.4129,3.1891,48.16K,-2.31%
2022-04-06,3.3452,3.4518,3.5631,3.3228,39.38K,-3.55%
2022-04-05,3.4682,3.5749,3.6167,3.41,40.67K,-2.20%
2022-04-04,3.5461,3.4249,3.6,3.4249,32.52K,3.57%
2022-04-01,3.424,3.37,3.4799,3.2927,36.99K,-7.24%
2022-03-31,3.6912,3.7925,3.799,3.6178,4.28K,-3.08%
2022-03-30,3.8085,3.7453,3.9197,3.71,14.59K,2.49%
2022-03-29,3.7161,3.6918,3.8513,3.4939,13.76K,-1.78%
2022-03-28,3.7834,4.071,4.073,3.657,18.70K,-8.05%
2022-03-25,4.1146,4.155,4.2,3.91,20.50K,-0.93%
2022-03-24,4.1534,4.08,4.1818,4.0148,25.50K,0.94%
2022-03-23,4.1148,3.7849,4.1284,3.7659,22.74K,6.49%
2022-03-22,3.8642,3.8003,3.8883,3.6397,19.96K,1.67%
2022-03-21,3.8009,3.592,3.8695,3.592,24.36K,5.64%
2022-03-18,3.5981,3.4878,3.6263,3.4365,26.14K,3.17%
2022-03-17,3.4874,3.1627,3.5518,3.1312,29.45K,12.49%
2022-03-16,3.1001,3.009,3.1703,2.974,28.75K,2.32%
2022-03-15,3.0297,3.2286,3.26,2.933,34.78K,-7.53%
2022-03-14,3.2763,3.4176,3.4404,3.2145,27.33K,-4.13%
2022-03-11,3.4176,3.302,3.5229,3.1699,41.13K,3.68%
2022-03-10,3.2962,3.5471,3.8424,3.2835,60.14K,-4.85%
2022-03-09,3.4643,4.5152,4.6709,3.3735,83.17K,-21.93%
2022-03-08,4.4373,3.9738,4.5275,3.9044,75.94K,13.15%
2022-03-07,3.9215,3.8325,4.2373,3.8125,63.64K,3.85%
2022-03-04,3.7763,3.5077,3.8,3.453,57.92K,7.79%
2022-03-03,3.5034,3.5405,3.8416,3.3845,55.37K,0.25%
2022-03-02,3.4947,3.225,3.6072,3.2076,83.06K,10.90%
2022-03-01,3.1511,2.931,3.2233,2.9299,76.89K,4.57%
2022-02-28,3.0134,2.971,3.0196,2.9434,6.33K,5.75%
2022-02-25,2.8495,2.9081,2.9699,2.8045,27.66K,-1.64%
2022-02-24,2.8969,2.8428,3.0474,2.8427,36.78K,2.39%
2022-02-23,2.8292,2.8069,2.8525,2.7742,34.23K,0.37%
2022-02-22,2.8188,2.8013,2.9098,2.76,42.64K,0.39%
2022-02-21,2.8078,2.7834,2.8251,2.7253,,0.88%
2022-02-20,2.7832,2.7833,2.7889,2.7821,,0.06%
2022-02-18,2.7815,2.7909,2.8027,2.7147,46.38K,-0.17%
2022-02-17,2.7862,2.794,2.8465,2.7484,50.50K,-2.50%
2022-02-16,2.8575,2.8705,2.9,2.765,56.61K,-0.07%
2022-02-15,2.8595,2.937,2.9533,2.8245,51.39K,-3.45%
2022-02-14,2.9618,2.9364,2.9666,2.8687,49.39K,1.75%
2022-02-11,2.9109,2.8228,2.9484,2.803,70.51K,2.96%
2022-02-10,2.8272,2.8327,2.8711,2.804,63.15K,0.08%
2022-02-09,2.8249,2.8047,2.8374,2.7676,75.44K,1.16%
2022-02-08,2.7926,2.8578,2.8617,2.7463,104.36K,-2.20%
2022-02-07,2.8554,2.89,2.9318,2.8425,88.06K,-0.69%
2022-02-04,2.8751,2.8272,2.9065,2.8247,67.94K,1.25%
2022-02-03,2.8395,2.766,2.8435,2.7412,94.12K,2.55%
2022-02-02,2.7689,2.7495,2.7848,2.7294,68.52K,1.01%
2022-02-01,2.7412,2.7189,2.7559,2.6626,85.04K,-0.65%
2022-01-31,2.7592,2.815,2.816,2.7457,5.31K,-0.94%
2022-01-28,2.7855,2.8289,2.864,2.7698,23.96K,-0.32%
2022-01-27,2.7945,2.7396,2.8333,2.7261,35.72K,1.84%
2022-01-26,2.744,2.6668,2.7521,2.6661,41.97K,2.81%
